,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Jalen Lecque,7.0,0.0,5.1,0.7,1.7,41.7,0.0,0.6,0.0,0.4,0.4,100.0,0.1,0.6,0.7,0.4,0.0,0.0,0.4,0.3,1.9
Kelan Martin,34.0,4.0,15.1,2.1,5.6,38.1,0.7,2.9,25.3,0.9,0.9,96.8,0.4,2.5,2.9,0.7,0.3,0.3,1.6,0.6,5.9
Doug McDermott,416.0,14.0,20.0,3.1,6.7,46.4,1.2,3.0,40.9,0.8,1.0,81.9,0.4,1.9,2.2,0.8,0.1,0.2,1.4,0.6,8.3
Victor Oladipo,426.0,366.0,33.0,6.4,14.5,44.1,1.6,4.4,35.1,3.0,3.8,79.4,0.6,4.0,4.6,3.9,0.5,1.6,2.4,2.6,17.4
Domantas Sabonis,297.0,158.0,25.8,4.9,9.3,52.3,0.3,1.0,33.3,2.2,3.1,72.0,2.0,6.0,8.0,2.7,0.4,0.6,3.0,1.9,12.3
JaKarr Sampson,209.0,90.0,15.5,2.0,4.4,46.8,0.3,1.1,25.1,0.9,1.3,67.1,0.6,2.0,2.6,0.8,0.5,0.4,1.9,0.8,5.3
Cassius Stanley,2.0,0.0,2.0,1.0,1.5,66.7,0.5,0.5,100.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.5,2.5
Edmond Sumner,56.0,5.0,11.8,1.5,3.7,40.6,0.4,1.4,26.2,0.6,0.9,58.5,0.4,0.9,1.3,1.2,0.3,0.5,1.3,0.6,3.9
Myles Turner,348.0,315.0,28.4,4.9,10.0,48.8,0.8,2.2,35.1,2.2,2.9,77.0,1.4,5.2,6.6,1.2,2.1,0.7,2.8,1.3,12.7
Jaylen Adams,34.0,1.0,12.6,1.1,3.2,34.5,0.7,2.2,33.8,0.2,0.3,77.8,0.3,1.4,1.8,1.9,0.1,0.4,1.3,0.8,3.2
Giannis Antetokounmpo,534.0,469.0,32.4,7.3,14.0,52.6,0.6,2.1,28.3,4.8,6.7,72.0,1.7,7.2,8.9,4.3,1.3,1.2,3.0,2.8,20.1
Thanasis Antetokounmpo,27.0,2.0,7.3,1.2,2.3,52.4,0.0,0.6,6.7,0.3,0.6,41.2,0.6,0.7,1.3,0.8,0.1,0.3,1.1,0.7,2.7
Pat Connaughton,289.0,12.0,15.8,1.8,4.1,44.4,0.8,2.2,34.9,0.4,0.5,79.3,0.6,2.2,2.8,1.3,0.3,0.3,1.1,0.5,4.8
Torrey Craig,174.0,69.0,18.5,2.0,4.4,45.0,0.7,2.2,32.0,0.5,0.8,66.0,1.1,2.2,3.4,0.8,0.6,0.4,2.2,0.5,5.2
Donte DiVincenzo,99.0,30.0,20.9,3.2,6.9,45.4,1.3,3.6,34.4,0.7,1.0,73.3,0.9,3.2,4.1,1.9,0.3,1.1,1.6,1.2,8.3
Bryn Forbes,267.0,155.0,21.6,3.2,7.5,43.2,1.6,4.1,40.1,0.7,0.9,79.7,0.2,1.7,1.9,1.5,0.0,0.4,1.5,0.7,8.9
Jrue Holiday,719.0,646.0,33.2,6.3,13.8,45.3,1.3,3.7,35.5,2.0,2.6,77.8,0.9,3.0,3.9,6.4,0.5,1.5,2.3,2.7,15.9
Brook Lopez,791.0,752.0,30.5,6.4,13.0,49.4,0.7,2.0,34.1,3.3,4.1,79.4,2.1,4.3,6.4,1.5,1.8,0.6,2.7,1.8,16.8
Sam Merrill,5.0,0.0,7.8,0.8,1.4,57.1,0.8,1.0,80.0,0.0,0.0,0.0,0.6,1.2,1.8,1.4,0.0,0.2,0.4,0.6,2.4
Khris Middleton,523.0,448.0,31.5,6.0,13.0,45.9,1.8,4.5,39.3,2.7,3.0,87.8,0.6,4.1,4.7,3.4,0.2,1.2,2.6,1.9,16.4
Jordan Nwora,4.0,0.0,9.8,2.5,5.8,43.5,1.0,2.3,44.4,1.8,2.0,87.5,0.0,2.0,2.0,0.0,0.0,0.8,1.3,1.0,7.8
Bobby Portis,321.0,54.0,20.5,4.1,9.0,45.7,0.9,2.4,36.1,1.1,1.5,75.6,1.7,4.2,6.0,1.2,0.3,0.5,1.8,1.1,10.2
Will Barton,502.0,163.0,24.5,4.1,9.5,43.3,1.2,3.3,34.7,1.7,2.2,78.4,0.8,3.5,4.2,2.5,0.4,0.7,1.6,1.4,11.1
Bol Bol,10.0,0.0,10.1,1.4,3.2,43.8,0.4,1.1,36.4,0.8,1.0,80.0,0.5,1.5,2.0,0.6,0.7,0.2,1.3,1.0,4.0
Facundo Campazzo,6.0,0.0,9.2,1.0,2.2,46.2,1.0,1.8,54.5,0.8,1.0,83.3,0.0,0.8,0.8,1.2,0.2,0.8,1.3,1.0,3.8
Vlatko Cancar,16.0,0.0,3.1,0.4,1.0,37.5,0.1,0.4,16.7,0.3,0.3,100.0,0.3,0.3,0.6,0.2,0.1,0.1,0.4,0.3,1.1
PJ Dozier,43.0,0.0,13.5,2.1,5.0,41.6,0.5,1.6,34.3,0.6,0.8,72.2,0.6,1.7,2.3,1.7,0.3,0.4,1.2,0.7,5.3
Gary Harris,374.0,312.0,29.0,4.5,10.0,45.3,1.5,4.1,35.7,1.5,1.9,80.3,0.6,2.0,2.6,2.1,0.2,1.2,1.8,1.2,12.0
Isaiah Hartenstein,56.0,2.0,9.5,1.3,2.3,57.7,0.0,0.2,18.2,0.6,0.9,67.3,1.1,1.7,2.8,0.6,0.5,0.3,1.9,0.6,3.3
Markus Howard,3.0,0.0,0.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nikola Jokic,387.0,346.0,29.1,6.6,12.5,52.6,0.9,2.7,33.9,3.0,3.7,82.6,2.6,7.0,9.6,5.6,0.7,1.1,2.9,2.6,17.0
Paul Millsap,1002.0,715.0,29.1,5.2,10.7,49.1,0.5,1.4,34.6,3.0,4.1,73.6,2.2,5.1,7.3,2.3,1.0,1.3,3.1,1.8,14.0
Monte Morris,164.0,19.0,23.2,3.9,8.1,48.0,1.0,2.6,39.5,0.9,1.2,82.0,0.4,1.7,2.1,3.5,0.1,0.8,1.1,0.7,9.7
Jamal Murray,302.0,227.0,29.3,5.8,13.1,44.0,1.9,5.1,35.9,2.3,2.7,87.5,0.8,2.8,3.6,3.7,0.3,0.9,1.9,1.9,15.7
Zeke Nnaji,3.0,0.0,1.7,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0
Malik Beasley,226.0,39.0,17.8,3.2,7.1,45.0,1.4,3.7,38.6,0.7,0.9,80.8,0.3,1.7,2.1,1.0,0.1,0.5,1.1,0.7,8.5
Jarrett Culver,69.0,38.0,23.9,3.7,9.0,40.6,1.0,3.4,29.5,0.9,1.9,47.7,1.2,2.4,3.6,1.6,0.6,0.9,2.0,1.3,9.2
Ed Davis,673.0,97.0,19.8,2.6,4.6,56.7,0.0,0.0,0.0,1.1,1.9,58.3,2.3,4.3,6.6,0.8,0.8,0.5,2.5,0.8,6.3
Anthony Edwards,6.0,0.0,25.0,5.3,12.5,42.7,1.8,5.8,31.4,1.2,1.7,70.0,0.7,1.3,2.0,2.2,0.3,0.7,1.8,1.3,13.7
Juancho Hernangomez,211.0,52.0,16.1,1.8,4.2,42.2,0.8,2.3,35.2,0.8,1.2,71.8,0.8,2.6,3.4,0.7,0.2,0.4,1.2,0.5,5.2
Jake Layman,170.0,40.0,13.7,2.0,4.5,45.4,0.6,2.0,30.4,0.6,0.8,73.5,0.5,1.4,1.9,0.6,0.3,0.4,1.2,0.5,5.3
Jaden McDaniels,4.0,0.0,6.3,1.3,2.0,62.5,0.8,1.3,60.0,0.3,0.5,50.0,0.0,1.0,1.0,0.3,0.3,0.5,0.8,0.5,3.5
Jordan McLaughlin,34.0,2.0,19.2,2.8,5.7,48.2,0.9,2.4,37.3,0.8,1.1,66.7,0.2,1.4,1.6,4.1,0.1,1.1,0.9,1.0,7.2
Jaylen Nowell,15.0,0.0,10.1,1.3,3.5,35.8,0.2,1.7,11.5,1.1,1.1,94.1,0.2,0.7,0.9,1.3,0.1,0.2,0.7,0.2,3.8
Josh Okogie,139.0,83.0,24.3,2.7,6.7,40.6,0.7,2.7,27.2,2.0,2.6,76.7,0.9,2.6,3.6,1.4,0.4,1.1,2.2,1.1,8.1
Naz Reid,36.0,14.0,17.4,3.5,8.2,43.2,1.0,3.1,33.0,1.3,1.8,69.7,1.1,3.0,4.1,1.3,0.8,0.6,2.8,0.8,9.4
Ricky Rubio,569.0,545.0,30.8,3.7,9.3,39.2,0.9,2.7,32.7,3.1,3.7,84.1,0.7,3.6,4.2,7.8,0.1,1.9,2.6,2.7,11.3
Jarred Vanderbilt,32.0,0.0,5.0,0.7,1.2,55.3,0.0,0.1,0.0,0.3,0.6,57.9,0.5,1.0,1.5,0.4,0.1,0.4,0.5,0.6,1.7
Trevor Ariza,1064.0,731.0,29.7,3.8,8.9,42.3,1.4,4.1,35.2,1.6,2.2,73.2,1.0,3.8,4.8,2.2,0.3,1.5,2.0,1.4,10.5
Darius Bazley,66.0,14.0,19.5,2.2,5.6,40.1,0.8,2.4,33.5,0.8,1.1,71.4,0.5,3.9,4.4,0.7,0.7,0.4,0.9,0.8,6.0
Moses Brown,10.0,0.0,3.6,0.4,1.1,36.4,0.0,0.0,0.0,0.3,1.0,30.0,0.3,1.3,1.6,0.1,0.2,0.1,0.7,0.3,1.1
Hamidou Diallo,102.0,6.0,14.9,2.2,4.9,45.0,0.2,0.8,24.7,0.8,1.3,60.2,0.9,2.0,2.9,0.6,0.2,0.6,1.9,0.8,5.4
Luguentz Dort,41.0,33.0,23.5,2.7,6.6,41.1,1.0,3.1,32.8,1.3,1.6,79.1,0.7,1.7,2.4,0.8,0.1,0.9,2.8,0.7,7.7
Josh Hall,2.0,0.0,5.5,0.5,3.0,16.7,0.5,2.0,25.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.5,0.0,1.5
George Hill,789.0,453.0,27.7,3.9,8.6,45.7,1.2,3.2,38.5,2.0,2.5,80.3,0.6,2.5,3.1,3.2,0.3,0.9,2.0,1.3,11.1
Al Horford,857.0,847.0,32.6,5.9,11.3,52.0,0.6,1.5,36.4,1.7,2.2,75.5,2.1,6.2,8.3,3.3,1.2,0.8,2.3,1.6,13.9
