,id,height,weight,age,position,jersey,salary,FLName,experience,Team,hand,GP,GS,MIN,FGM,FGA,FG%,3PTM,3PTA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,BLK,STL,PF,TO,PTS
Kent Bazemore,6637,77.0,206.0,31,SF,26,1620564.0,Kent Bazemore,8,Golden State Warriors,,555.0,278.0,21.1,3.1,7.5,41.3,1.1,3.0,35.1,1.4,2.0,72.6,0.4,2.9,3.2,1.8,0.5,1.0,2.0,1.5,8.7
Marquese Chriss,3907487,81.0,249.0,23,SF,32,1824003.0,Marquese Chriss,4,Golden State Warriors,,258.0,147.0,19.3,3.0,6.5,45.5,0.6,2.1,28.9,1.4,2.1,66.7,1.3,3.6,4.9,1.1,0.8,0.7,2.6,1.3,8.0
Stephen Curry,3975,75.0,193.0,32,PG,30,43006362.0,Stephen Curry,11,Golden State Warriors,,705.0,699.0,34.3,8.1,17.1,47.6,3.6,8.2,43.4,3.7,4.1,90.7,0.7,3.8,4.5,6.6,0.2,1.7,2.5,3.1,23.6
Draymond Green,6589,78.0,235.0,30,PF,23,22246956.0,Draymond Green,8,Golden State Warriors,,578.0,430.0,28.1,3.2,7.5,43.5,0.9,2.8,31.9,1.6,2.2,70.9,1.1,5.8,6.9,5.0,1.1,1.4,2.8,2.1,8.9
Damion Lee,2595209,77.0,203.0,28,SG,1,1762796.0,Damion Lee,3,Golden State Warriors,L,102.0,47.0,22.6,3.4,8.0,42.1,1.4,3.8,35.6,1.5,1.8,85.7,0.5,3.4,3.9,1.8,0.1,0.8,1.8,0.9,9.6
Kevon Looney,3155535,81.0,250.0,24,PF,5,4464226.0,Kevon Looney,5,Golden State Warriors,,230.0,36.0,14.0,1.9,3.3,56.9,0.0,0.2,14.3,0.6,1.0,60.5,1.6,2.1,3.7,1.0,0.6,0.5,1.9,0.5,4.3
Nico Mannion,4431672,74.0,188.0,19,PG,2,0.0,Nico Mannion,0,Golden State Warriors,R,,,,,,,,,,,,,,,,,,,,,
Mychal Mulder,3936298,76.0,193.0,26,SG,15,1517981.0,Mychal Mulder,1,Golden State Warriors,,13.0,3.0,20.0,2.5,6.5,39.3,1.6,5.1,31.8,0.9,1.4,66.7,0.2,1.9,2.2,0.7,0.2,0.2,1.8,0.5,7.6
Eric Paschall,3133817,78.0,264.0,24,PF,7,1517981.0,Eric Paschall,1,Golden State Warriors,,66.0,28.0,26.8,5.2,10.3,50.1,0.6,2.1,28.7,2.7,3.5,77.5,1.3,3.1,4.4,2.0,0.2,0.5,2.1,1.5,13.6
Jordan Poole,4277956,76.0,195.0,21,SG,3,2063280.0,Jordan Poole,1,Golden State Warriors,B,62.0,14.0,21.6,2.8,8.5,33.5,1.2,4.5,27.6,1.7,2.1,81.3,0.2,1.9,2.0,2.2,0.2,0.6,1.6,1.2,8.6
Alen Smailagic,4401415,82.0,241.0,20,PF,6,1517981.0,Alen Smailagic,1,Golden State Warriors,,14.0,0.0,9.9,1.4,2.9,50.0,0.2,0.9,23.1,1.1,1.4,84.2,0.7,1.2,1.9,0.9,0.3,0.2,1.0,0.8,4.2
Klay Thompson,6475,78.0,215.0,30,SG,11,35361360.0,Klay Thompson,8,Golden State Warriors,,615.0,578.0,33.1,7.3,16.0,45.9,2.9,7.0,41.9,1.9,2.3,84.8,0.4,3.0,3.5,2.3,0.5,0.9,2.1,1.7,19.5
Brad Wanamaker,6507,75.0,222.0,31,PG,10,2250000.0,Brad Wanamaker,2,Golden State Warriors,,113.0,1.0,16.0,1.9,4.3,44.7,0.5,1.3,36.0,1.4,1.6,90.5,0.2,1.5,1.7,2.2,0.2,0.7,1.6,0.9,5.8
Andrew Wiggins,3059319,79.0,205.0,25,SF,22,29542010.0,Andrew Wiggins,6,Golden State Warriors,,460.0,460.0,35.7,7.3,16.5,44.1,1.2,3.6,33.3,3.9,5.4,73.2,1.3,3.1,4.4,2.3,0.6,1.0,2.2,2.1,19.7
James Wiseman,4432808,84.0,244.0,19,C,33,8730240.0,James Wiseman,0,Golden State Warriors,,6.0,6.0,22.3,4.3,9.7,44.8,0.8,1.8,45.5,2.2,3.3,65.0,1.2,5.3,6.5,0.3,1.7,0.5,4.0,1.7,11.7
Nicolas Batum,3416,81.0,230.0,32,SF,5,1620564.0,Nicolas Batum,12,LA Clippers,,796.0,721.0,31.3,4.1,9.4,43.5,1.6,4.4,35.7,1.7,2.1,84.2,1.1,4.2,5.2,3.8,0.6,0.9,1.8,1.8,11.5
Patrick Beverley,3964,73.0,180.0,32,PG,21,13333333.0,Patrick Beverley,8,LA Clippers,,438.0,357.0,28.0,3.1,7.6,41.5,1.6,4.2,38.2,1.0,1.3,76.2,1.2,3.2,4.4,3.4,0.4,1.2,3.1,1.3,8.9
Amir Coffey,4066387,79.0,210.0,23,SG,7,0.0,Amir Coffey,1,LA Clippers,,24.0,1.0,8.1,1.1,2.8,40.9,0.3,1.0,32.0,0.3,0.6,57.1,0.2,0.5,0.8,0.7,0.1,0.2,0.9,0.3,2.9
Paul George,4251,80.0,220.0,30,SG,13,35450412.0,Paul George,10,LA Clippers,,659.0,611.0,33.5,6.8,15.6,43.4,2.5,6.4,38.3,4.0,4.7,84.7,0.9,5.5,6.4,3.4,0.4,1.7,2.7,2.6,20.0
Serge Ibaka,3439,84.0,235.0,31,PF,9,9258000.0,Serge Ibaka,11,LA Clippers,,815.0,653.0,28.6,5.2,10.1,51.4,0.7,1.8,36.1,1.5,1.9,75.8,2.2,5.2,7.3,0.8,2.1,0.4,2.8,1.3,12.6
Reggie Jackson,6443,75.0,208.0,30,PG,1,1620564.0,Reggie Jackson,9,LA Clippers,L,568.0,348.0,25.0,4.7,11.1,42.8,1.2,3.5,33.8,2.1,2.4,85.6,0.5,2.4,2.9,4.4,0.1,0.7,1.9,1.9,12.8
Mfiondu Kabengele,4065660,81.0,250.0,23,PF,25,2075880.0,Mfiondu Kabengele,1,LA Clippers,,17.0,0.0,5.6,0.9,2.4,36.6,0.6,1.5,38.5,0.4,0.4,100.0,0.1,0.8,0.9,0.2,0.2,0.2,0.9,0.2,2.8
Luke Kennard,3913174,77.0,206.0,24,SG,5,5273826.0,Luke Kennard,3,LA Clippers,,171.0,46.0,23.3,3.5,8.0,44.2,1.6,3.9,40.4,1.1,1.3,86.2,0.2,2.5,2.8,2.1,0.2,0.5,1.5,1.0,9.8
Kawhi Leonard,6450,79.0,225.0,29,SF,2,34379100.0,Kawhi Leonard,9,LA Clippers,R,529.0,502.0,31.0,6.7,13.7,49.0,1.5,3.8,38.2,3.8,4.5,85.4,1.2,5.2,6.4,2.7,0.7,1.8,1.7,1.6,18.7
Terance Mann,3907823,77.0,215.0,24,SG,14,1517981.0,Terance Mann,1,LA Clippers,,47.0,6.0,9.2,0.9,2.1,44.3,0.1,0.5,31.8,0.4,0.6,66.7,0.3,1.2,1.5,1.2,0.1,0.2,1.2,0.4,2.4
Daniel Oturu,4397215,82.0,240.0,21,C,10,898310.0,Daniel Oturu,0,LA Clippers,,4.0,0.0,5.5,1.3,2.0,62.5,0.0,0.3,0.0,0.0,0.0,0.0,0.3,1.5,1.8,0.5,0.5,0.0,0.8,0.3,2.5
Patrick Patterson,4264,80.0,235.0,31,PF,54,3077704.0,Patrick Patterson,10,LA Clippers,,685.0,99.0,21.0,2.6,5.9,44.7,0.9,2.3,36.9,0.6,0.8,75.6,1.2,2.8,4.0,1.0,0.4,0.5,1.6,0.6,6.7
Jay Scrubb,4683023,78.0,220.0,20,SG,4,0.0,Jay Scrubb,0,LA Clippers,,,,,,,,,,,,,,,,,,,,,,
Lou Williams,2799,73.0,175.0,34,SG,23,8000000.0,Lou Williams,15,LA Clippers,,1008.0,118.0,24.8,4.6,11.0,42.0,1.3,3.9,34.9,3.8,4.5,84.0,0.4,1.9,2.3,3.5,0.2,0.9,1.3,1.7,14.4
Ivica Zubac,4017837,84.0,240.0,23,C,40,7000000.0,Ivica Zubac,4,LA Clippers,,219.0,118.0,16.1,3.0,5.3,57.0,0.0,0.0,0.0,1.5,1.9,75.9,1.9,3.6,5.5,0.9,0.8,0.3,2.0,0.9,7.5
Kostas Antetokounmpo,4066490,82.0,200.0,23,PF,37,0.0,Kostas Antetokounmpo,2,Los Angeles Lakers,,8.0,0.0,4.9,0.4,1.0,37.5,0.0,0.0,0.0,0.4,0.8,50.0,0.3,0.8,1.0,0.3,0.3,0.3,0.4,0.5,1.1
Devontae Cacok,3946974,79.0,240.0,24,PF,12,0.0,Devontae Cacok,1,Los Angeles Lakers,,1.0,0.0,9.0,3.0,6.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,6.0
Alex Caruso,2991350,77.0,186.0,26,SG,4,2750000.0,Alex Caruso,3,Los Angeles Lakers,,129.0,13.0,17.9,2.0,4.6,42.8,0.6,1.7,36.7,1.1,1.5,75.0,0.4,1.6,2.0,2.2,0.3,0.9,1.6,1.1,5.6
Quinn Cook,2566745,73.0,180.0,27,PG,2,1620564.0,Quinn Cook,4,Los Angeles Lakers,R,170.0,29.0,14.8,2.7,5.8,46.3,1.0,2.5,40.6,0.3,0.4,78.9,0.3,1.5,1.8,1.7,0.0,0.3,1.1,0.8,6.7
Anthony Davis,6583,82.0,253.0,27,PF,3,32742000.0,Anthony Davis,8,Los Angeles Lakers,B,534.0,529.0,34.5,8.9,17.3,51.5,0.5,1.5,32.1,5.7,7.1,80.2,2.6,7.8,10.4,2.3,2.4,1.4,2.4,1.9,24.0
Jared Dudley,3201,78.0,237.0,35,SF,10,1620564.0,Jared Dudley,13,Los Angeles Lakers,,896.0,286.0,22.4,2.7,5.8,46.4,1.0,2.5,39.3,1.0,1.4,73.2,0.9,2.3,3.2,1.6,0.2,0.8,1.8,0.8,7.4
Marc Gasol,3206,85.0,255.0,35,C,14,2564753.0,Marc Gasol,12,Los Angeles Lakers,,846.0,830.0,32.9,5.4,11.2,48.2,0.5,1.3,35.4,3.3,4.2,77.7,1.6,6.0,7.6,3.4,1.4,0.9,2.9,2.0,14.5
Montrezl Harrell,2991055,79.0,253.0,26,PF,15,9258000.0,Montrezl Harrell,5,Los Angeles Lakers,,325.0,25.0,21.0,5.2,8.4,61.5,0.0,0.2,9.6,2.3,3.6,64.0,1.8,3.2,5.0,1.3,0.9,0.6,2.3,1.2,12.7
LeBron James,1966,81.0,250.0,36,SF,23,39219565.0,LeBron James,17,Los Angeles Lakers,,1272.0,1271.0,38.3,9.9,19.6,50.3,1.5,4.3,34.4,5.8,8.0,73.4,1.2,6.2,7.4,7.4,0.8,1.6,1.8,3.5,27.0
Kyle Kuzma,3134907,80.0,220.0,25,PF,0,3562178.0,Kyle Kuzma,3,Los Angeles Lakers,,215.0,116.0,29.9,6.0,13.3,44.9,1.8,5.4,33.3,2.1,2.9,73.3,0.9,4.5,5.4,1.9,0.4,0.6,2.2,1.8,15.9
Wesley Matthews,4032,76.0,221.0,34,SG,9,3623000.0,Wesley Matthews,11,Los Angeles Lakers,,798.0,730.0,31.8,4.5,10.6,42.4,2.1,5.5,38.1,2.0,2.5,82.3,0.5,2.5,3.0,2.1,0.2,1.0,2.2,1.3,13.1
Alfonzo McKinnie,2530923,80.0,215.0,28,SF,28,1762796.0,Alfonzo McKinnie,3,Los Angeles Lakers,,130.0,6.0,12.8,1.7,3.6,47.2,0.5,1.5,31.4,0.4,0.6,63.1,0.9,1.9,2.8,0.4,0.2,0.3,1.7,0.5,4.3
Markieff Morris,6461,82.0,245.0,31,PF,88,1620564.0,Markieff Morris,9,Los Angeles Lakers,,644.0,348.0,25.4,4.4,9.8,44.8,0.8,2.4,34.4,1.8,2.3,77.8,1.3,4.1,5.3,1.7,0.5,0.9,2.9,1.6,11.4
Dennis Schroder,3032979,73.0,172.0,27,PG,17,16000000.0,Dennis Schroder,7,Los Angeles Lakers,,503.0,184.0,25.6,5.3,12.2,43.6,1.1,3.4,33.7,2.3,2.8,82.7,0.4,2.4,2.9,4.6,0.1,0.8,1.9,2.4,14.1
Deandre Ayton,4278129,83.0,250.0,22,C,22,9562920.0,Deandre Ayton,2,Phoenix Suns,,116.0,109.0,31.2,7.4,13.0,57.0,0.0,0.2,20.0,1.9,2.6,74.6,3.4,7.3,10.7,1.8,1.1,0.8,3.0,1.9,16.8
Devin Booker,3136193,77.0,206.0,24,SG,1,29467800.0,Devin Booker,5,Phoenix Suns,L,349.0,324.0,33.5,7.7,17.2,44.9,2.0,5.5,35.4,5.0,5.8,86.9,0.5,3.2,3.6,4.7,0.3,0.8,3.1,3.3,22.4
Mikal Bridges,3147657,78.0,209.0,24,SF,25,4161000.0,Mikal Bridges,2,Phoenix Suns,,162.0,95.0,29.0,3.2,6.9,46.9,1.2,3.4,35.4,1.3,1.6,83.1,0.8,2.9,3.7,1.9,0.6,1.5,2.3,0.9,9.0
Jevon Carter,3133635,73.0,200.0,25,PG,4,3925000.0,Jevon Carter,2,Phoenix Suns,,104.0,5.0,15.4,1.6,4.3,36.3,0.9,2.5,37.3,0.5,0.6,83.1,0.4,1.4,1.9,1.5,0.3,0.7,1.4,0.6,4.6
Jae Crowder,6581,78.0,235.0,30,SF,99,9258000.0,Jae Crowder,8,Phoenix Suns,,615.0,304.0,24.8,3.3,7.9,42.1,1.4,4.2,34.0,1.5,2.0,77.8,0.7,3.4,4.1,1.5,0.3,1.0,2.0,0.9,9.6
Langston Galloway,2530572,73.0,200.0,29,SG,2,1620564.0,Langston Galloway,6,Phoenix Suns,R,412.0,62.0,22.7,3.0,7.6,39.6,1.5,4.0,36.8,1.0,1.2,81.2,0.5,2.1,2.5,1.7,0.2,0.7,1.6,0.6,8.5
Cameron Johnson,3138196,80.0,210.0,24,SF,23,4033440.0,Cameron Johnson,1,Phoenix Suns,,64.0,9.0,22.1,3.2,7.3,44.2,1.9,4.9,39.0,0.9,1.0,83.6,0.8,2.4,3.2,1.2,0.4,0.6,1.5,0.5,9.3
Damian Jones,3064559,83.0,245.0,25,C,30,1737145.0,Damian Jones,4,Phoenix Suns,,108.0,49.0,13.9,1.8,2.7,66.2,0.0,0.1,22.2,0.9,1.3,67.6,1.1,1.9,3.0,0.6,0.7,0.4,2.3,0.5,4.5
Frank Kaminsky,2579294,84.0,240.0,27,PF,8,1620564.0,Frank Kaminsky,5,Phoenix Suns,,326.0,36.0,21.7,3.5,8.2,42.2,1.2,3.4,34.6,1.6,2.1,74.8,0.8,3.2,4.0,1.6,0.4,0.5,1.6,0.9,9.7
Abdel Nader,2595435,77.0,225.0,27,SF,11,1752950.0,Abdel Nader,3,Phoenix Suns,,164.0,8.0,12.7,1.6,3.8,42.1,0.6,1.8,35.2,0.6,0.9,71.6,0.3,1.5,1.8,0.5,0.3,0.4,1.2,0.6,4.5
Chris Paul,2779,73.0,175.0,35,PG,3,41358814.0,Chris Paul,15,Phoenix Suns,B,1027.0,1027.0,34.8,6.5,13.7,47.0,1.3,3.7,37.0,4.2,4.8,87.1,0.7,3.9,4.5,9.5,0.1,2.2,2.5,2.4,18.4
Cameron Payne,3064230,75.0,190.0,26,PG,15,1977011.0,Cameron Payne,5,Phoenix Suns,,168.0,28.0,16.5,2.5,6.1,40.8,0.9,2.5,34.9,0.5,0.6,78.6,0.3,1.6,1.9,2.6,0.2,0.7,1.6,1.0,6.3
Dario Saric,3032978,82.0,225.0,26,PF,20,9250000.0,Dario Saric,4,Phoenix Suns,,309.0,201.0,26.4,4.4,9.9,44.1,1.5,4.2,35.9,1.9,2.3,83.7,1.6,4.6,6.2,2.1,0.2,0.6,2.2,1.7,12.2
Jalen Smith,4397189,82.0,215.0,20,PF,10,4245720.0,Jalen Smith,0,Phoenix Suns,,2.0,0.0,10.0,1.0,2.5,40.0,0.0,0.5,0.0,0.0,1.0,0.0,1.5,1.0,2.5,0.5,0.5,0.0,0.5,0.5,2.0
Harrison Barnes,6578,80.0,225.0,28,SF,40,22215909.0,Harrison Barnes,8,Sacramento Kings,,618.0,557.0,31.2,5.1,11.3,44.8,1.2,3.3,37.4,2.3,2.9,79.6,1.0,3.9,4.9,1.6,0.2,0.7,1.7,1.2,13.7
Nemanja Bjelica,4269,82.0,235.0,32,PF,8,7150000.0,Nemanja Bjelica,5,Sacramento Kings,,347.0,159.0,21.7,3.0,6.5,46.7,1.2,3.1,39.3,0.8,1.0,77.1,1.2,3.6,4.8,1.8,0.4,0.7,2.5,1.0,8.0
Kyle Guy,4065730,73.0,170.0,23,SG,7,0.0,Kyle Guy,1,Sacramento Kings,,5.0,0.0,4.4,0.6,2.0,30.0,0.2,1.0,20.0,0.4,0.4,100.0,0.0,0.6,0.6,0.4,0.0,0.0,0.2,0.0,1.8
Tyrese Haliburton,4396993,77.0,175.0,20,PG,0,3831840.0,Tyrese Haliburton,0,Sacramento Kings,,5.0,0.0,26.8,3.6,6.8,52.9,2.0,4.0,50.0,1.4,1.6,87.5,0.6,1.4,2.0,4.4,0.4,1.0,1.4,0.8,10.6
Buddy Hield,2990984,76.0,220.0,28,SG,24,24701834.0,Buddy Hield,4,Sacramento Kings,,322.0,200.0,27.8,5.9,13.4,44.0,2.8,6.8,41.0,1.3,1.5,86.5,0.8,3.4,4.2,2.2,0.3,0.8,2.0,1.7,15.9
Richaun Holmes,2993370,82.0,240.0,27,PF,22,5005350.0,Richaun Holmes,5,Sacramento Kings,,276.0,68.0,19.0,3.5,5.9,58.6,0.1,0.6,25.7,1.4,2.0,72.9,1.7,3.4,5.1,0.9,1.0,0.6,2.6,0.8,8.5
Justin James,3914058,78.0,190.0,23,SG,10,1517981.0,Justin James,1,Sacramento Kings,,37.0,0.0,6.4,0.9,2.3,41.7,0.2,0.8,31.0,0.3,0.6,47.6,0.2,0.7,0.9,0.5,0.2,0.2,0.5,0.2,2.4
DaQuan Jeffries,3913220,77.0,220.0,23,SG,19,1445697.0,DaQuan Jeffries,1,Sacramento Kings,,13.0,0.0,10.8,1.5,3.1,50.0,0.4,1.4,27.8,0.4,0.5,83.3,0.2,1.2,1.4,0.5,0.1,0.3,1.5,0.2,3.8
Cory Joseph,6446,75.0,200.0,29,PG,9,12600000.0,Cory Joseph,9,Sacramento Kings,,606.0,121.0,21.9,2.7,6.1,44.0,0.5,1.5,33.1,1.0,1.3,77.0,0.5,2.1,2.6,2.9,0.2,0.8,1.5,1.0,6.9
Chimezie Metu,3914283,81.0,225.0,23,PF,25,1620564.0,Chimezie Metu,2,Sacramento Kings,,47.0,0.0,5.3,0.9,2.1,43.0,0.0,0.1,0.0,0.5,0.6,76.7,0.4,1.0,1.5,0.5,0.2,0.2,0.4,0.5,2.3
Jabari Parker,3056600,80.0,245.0,25,PF,33,6500000.0,Jabari Parker,6,Sacramento Kings,,285.0,190.0,29.0,6.0,12.2,49.3,0.7,2.2,32.4,2.2,2.9,74.0,1.5,4.2,5.7,2.1,0.4,0.9,2.1,1.8,14.9
Hassan Whiteside,4262,84.0,265.0,31,C,20,1620564.0,Hassan Whiteside,8,Sacramento Kings,,415.0,320.0,26.5,5.7,9.8,58.2,0.0,0.1,32.0,2.2,3.7,60.6,3.3,8.3,11.7,0.7,2.4,0.6,2.6,1.6,13.6
Bogdan Bogdanovic,3037789,78.0,220.0,28,SG,13,18000000.0,Bogdan Bogdanovic,3,Atlanta Hawks,,215.0,98.0,28.2,5.0,11.5,43.3,2.1,5.5,37.5,1.5,1.9,80.8,0.5,2.8,3.3,3.5,0.2,1.0,2.1,1.6,13.5
Clint Capela,3102529,82.0,240.0,26,C,15,16000000.0,Clint Capela,6,Atlanta Hawks,,338.0,278.0,26.0,5.3,8.3,63.4,0.0,0.0,0.0,1.6,3.1,52.2,3.3,6.5,9.7,1.0,1.5,0.7,2.5,1.2,12.2
John Collins,3908845,81.0,235.0,23,PF,20,4137302.0,John Collins,3,Atlanta Hawks,,182.0,132.0,28.2,6.4,11.3,57.0,0.7,2.0,36.5,2.6,3.4,76.3,2.9,5.9,8.8,1.6,1.1,0.6,3.2,1.7,16.2
Bruno Fernando,4277952,81.0,240.0,22,PF,24,1517981.0,Bruno Fernando,1,Atlanta Hawks,,62.0,13.0,12.5,1.7,3.4,51.4,0.1,0.6,13.2,0.5,0.9,57.4,1.2,2.5,3.7,0.9,0.3,0.3,1.8,0.8,4.0
Danilo Gallinari,3428,82.0,233.0,32,PF,8,19500000.0,Danilo Gallinari,11,Atlanta Hawks,,613.0,542.0,30.9,4.9,11.4,42.7,2.0,5.2,38.1,4.4,5.0,87.3,0.7,4.2,4.9,2.0,0.4,0.8,1.8,1.3,16.1
Brandon Goodwin,3057198,72.0,180.0,25,PG,0,1701593.0,Brandon Goodwin,2,Atlanta Hawks,,54.0,1.0,10.0,1.6,4.2,38.4,0.6,1.9,30.7,0.7,0.8,86.7,0.2,1.2,1.5,1.4,0.1,0.2,1.0,0.6,4.6
Solomon Hill,2488958,78.0,226.0,29,SF,18,1620564.0,Solomon Hill,7,Atlanta Hawks,,370.0,172.0,21.9,2.0,5.1,39.4,0.8,2.4,33.7,1.0,1.3,80.1,0.7,2.5,3.2,1.6,0.2,0.7,1.8,0.9,5.8
Kevin Huerter,4066372,79.0,190.0,22,SG,3,2761920.0,Kevin Huerter,2,Atlanta Hawks,B,137.0,107.0,28.9,4.0,9.6,41.8,2.0,5.2,38.6,0.7,0.9,78.7,0.7,2.9,3.6,3.2,0.4,0.9,2.3,1.5,10.8
Nathan Knight,4067325,82.0,253.0,23,PF,1,0.0,Nathan Knight,0,Atlanta Hawks,L,3.0,0.0,5.0,1.3,2.3,57.1,0.7,1.0,66.7,1.3,1.7,80.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4.7
Skylar Mays,4066269,76.0,205.0,23,SG,4,0.0,Skylar Mays,0,Atlanta Hawks,,2.0,0.0,3.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Onyeka Okongwu,4431680,81.0,245.0,20,PF,17,5813640.0,Onyeka Okongwu,0,Atlanta Hawks,,,,,,,,,,,,,,,,,,,,,,
Cam Reddish,4395627,80.0,218.0,21,SF,22,4458000.0,Cam Reddish,1,Atlanta Hawks,,64.0,40.0,26.9,3.7,9.5,38.4,1.4,4.2,33.6,1.8,2.3,80.6,0.6,3.2,3.8,1.5,0.5,1.1,2.3,1.6,10.5
Rajon Rondo,3026,73.0,180.0,34,PG,7,7500000.0,Rajon Rondo,14,Atlanta Hawks,,875.0,729.0,31.0,4.3,9.3,45.8,0.4,1.4,31.7,1.2,2.0,60.6,1.0,3.7,4.7,8.3,0.1,1.7,2.2,2.8,10.2
Tony Snell,2528353,78.0,213.0,29,SG,19,12178571.0,Tony Snell,7,Atlanta Hawks,,501.0,275.0,22.5,2.4,5.5,42.8,1.2,3.2,38.5,0.5,0.6,83.8,0.3,2.0,2.3,1.2,0.2,0.5,1.4,0.6,6.5
Trae Young,4277905,73.0,180.0,22,PG,11,6571800.0,Trae Young,2,Atlanta Hawks,,147.0,147.0,32.8,7.6,17.7,42.9,2.5,7.4,34.4,6.0,7.1,84.9,0.7,3.2,4.0,8.6,0.2,0.9,1.7,4.2,23.8
LaMelo Ball,4432816,79.0,181.0,19,PG,2,7839960.0,LaMelo Ball,0,Charlotte Hornets,R,6.0,0.0,23.0,4.0,9.5,42.1,1.8,4.3,42.3,1.7,2.3,71.4,1.5,2.8,4.3,4.2,0.5,1.8,2.7,2.3,11.5
Bismack Biyombo,6427,81.0,255.0,28,C,8,3500000.0,Bismack Biyombo,9,Charlotte Hornets,,642.0,276.0,20.3,2.0,3.8,52.2,0.0,0.0,0.0,1.3,2.2,57.3,2.0,4.3,6.3,0.6,1.3,0.2,2.2,0.9,5.2
Miles Bridges,4066383,79.0,225.0,22,SF,0,3934320.0,Miles Bridges,2,Charlotte Hornets,,151.0,89.0,25.5,3.8,8.7,44.0,1.2,3.5,33.0,1.1,1.4,79.2,1.1,3.7,4.8,1.5,0.7,0.7,1.7,1.0,9.9
Nate Darling,4067069,77.0,200.0,22,SG,30,0.0,Nate Darling,0,Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,
Gordon Hayward,4249,79.0,225.0,30,SF,20,28500000.0,Gordon Hayward,10,Charlotte Hornets,,647.0,485.0,30.9,5.3,11.7,45.1,1.3,3.6,36.6,3.5,4.2,82.4,0.7,3.7,4.4,3.5,0.4,1.0,1.8,2.0,15.3
Caleb Martin,3138160,79.0,205.0,25,SF,10,1517981.0,Caleb Martin,1,Charlotte Hornets,,23.0,1.0,17.1,2.3,4.9,46.4,1.0,2.0,51.1,0.9,1.1,76.9,0.5,1.7,2.2,1.3,0.3,0.8,1.6,0.7,6.4
Cody Martin,3138161,79.0,205.0,25,SF,11,1173310.0,Cody Martin,1,Charlotte Hornets,,53.0,3.0,18.5,1.8,4.2,43.7,0.3,1.5,22.2,0.8,1.3,64.2,0.8,2.5,3.3,2.0,0.2,0.8,1.5,0.9,4.8
Jalen McDaniels,4066731,82.0,205.0,22,PF,6,1517981.0,Jalen McDaniels,1,Charlotte Hornets,,22.0,0.0,16.2,1.9,4.0,47.7,0.5,1.3,35.7,0.9,1.2,76.9,0.8,2.8,3.6,0.8,0.1,0.4,2.0,0.9,5.2
Malik Monk,4066262,75.0,200.0,22,SG,1,5345687.0,Malik Monk,3,Charlotte Hornets,L,191.0,1.0,17.2,3.1,7.8,39.5,1.3,4.1,32.2,1.1,1.3,85.0,0.3,1.6,1.9,1.7,0.2,0.4,1.3,1.1,8.6
Nick Richards,4278076,83.0,247.0,23,C,14,1000000.0,Nick Richards,0,Charlotte Hornets,,2.0,0.0,2.5,0.5,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.0,1.0
Grant Riller,3912295,75.0,190.0,23,PG,7,0.0,Grant Riller,0,Charlotte Hornets,,,,,,,,,,,,,,,,,,,,,,
Terry Rozier,3074752,73.0,190.0,26,PG,3,18900000.0,Terry Rozier,5,Charlotte Hornets,B,341.0,99.0,22.8,3.5,8.9,39.7,1.6,4.2,37.4,1.3,1.6,81.2,0.6,3.1,3.7,2.7,0.2,0.8,1.3,1.1,9.9
Cody Zeller,2579258,84.0,240.0,28,PF,40,15415730.0,Cody Zeller,7,Charlotte Hornets,,420.0,253.0,22.9,3.2,6.3,51.3,0.1,0.3,24.3,2.1,2.9,73.0,2.0,4.0,5.9,1.4,0.7,0.7,2.6,1.1,8.6
Precious Achiuwa,4431679,80.0,235.0,21,PF,5,2582160.0,Precious Achiuwa,0,Miami Heat,,5.0,0.0,15.0,3.2,5.0,64.0,0.0,0.0,0.0,1.4,2.8,50.0,1.4,2.8,4.2,0.6,0.4,0.2,2.6,1.4,7.8
Bam Adebayo,4066261,81.0,255.0,23,C,13,5115492.0,Bam Adebayo,3,Miami Heat,,228.0,124.0,25.7,4.1,7.3,55.6,0.0,0.2,13.9,2.6,3.6,71.4,2.0,5.6,7.7,3.0,0.9,0.8,2.3,1.8,10.7
Avery Bradley,4240,75.0,190.0,30,PG,11,5635000.0,Avery Bradley,10,Miami Heat,,575.0,494.0,28.2,4.7,10.8,43.7,1.3,3.6,36.5,1.0,1.3,78.0,0.6,2.3,2.9,1.8,0.2,1.0,2.2,1.4,11.8
Jimmy Butler,6430,79.0,230.0,31,SF,22,34379100.0,Jimmy Butler,9,Miami Heat,,584.0,479.0,33.0,5.5,12.1,45.3,0.9,2.6,33.3,5.1,6.1,83.5,1.5,3.6,5.1,3.7,0.5,1.6,1.4,1.5,17.0
Goran Dragic,3423,75.0,190.0,34,PG,7,18000000.0,Goran Dragic,12,Miami Heat,,822.0,511.0,28.0,5.1,11.0,46.4,1.2,3.3,36.2,2.5,3.3,76.4,0.7,2.3,3.1,4.8,0.2,1.0,2.3,2.3,13.9
